producto,categoria,precio,Rubro,categoria,,569,electro
PC MINI ASUS CEL N4500 8G SSD250G PN41-BB4000AFCB,pc,450.75602,001-0014,pc,,,
SILLAS E-WIN REPUESTO GAS LIFT 12CM,sillas,18.62146,001-0015,sillas,,,
HD 1TB PORTABLE SEAGATE EXPANSION  BLACK 3.0 2.5,discos,85.93585,001-0016,discos,,,
HD 1TB PORTABLE SEAGATE GAMING RGB,discos,119.398565,001-0016,discos,,,
HD 2TB PORTABLE SEAGATE  GREEN LED 3.2 USB XBOX,discos,169.234065,001-0016,discos,,,
HD 2TB PORTABLE SEAGATE EXPANSION  BLACK 3.0 2.5`,discos,113.272445,001-0016,discos,,,
HD 2TB PORTABLE SEAGATE GAME DRIVE PS4 USB 3.0,discos,169.768885,001-0016,discos,,,
HD 2TB PORTABLE SEAGATE GAMER USB 3.2   GROGU STAR,discos,212.54233,001-0016,discos,,,
HD 2TB PORTABLE SEAGATE GAMER USB 3.2 BOBA FETT,discos,212.54233,001-0016,discos,,,
HD 2TB PORTABLE SEAGATE GAMER USB 3.2 MANDALORIAN,discos,212.54233,001-0016,discos,,,
HD 2TB PORTABLE WD ELEMENTS BLACK USB 3.0 2.5,discos,109.796115,001-0016,discos,,,
HD 4TB PORTABLE SEAGATE EXPANSION  BLACK 3.0,discos,184.597985,001-0016,discos,,,
HD 5 TB PORTABLE SEAGATE EXPANSION 3.0,discos,204.95761,001-0016,discos,,,
BORRADORA FULLM P/IBM 82 CARBON CF581,accesorios,0.98494,001-0020,accesorios,,,
BORRADORA OREJA PANAS OLIV.221 F588 FULLMARK,accesorios,0.87846,001-0020,accesorios,,,
ADAPTADOR 9M-25M BN-5015,cables,1.41086,001-0030,cables,,,
ADAPTADOR C36H A DB25M,cables,24.26138,001-0030,cables,,,
ADAPTADOR SCSI SCA 80H/BH50-68,cables,16.18496,001-0030,cables,,,
ALARGUE MONITOR 15M/15H 1.5M,cables,3.35478,001-0030,cables,,,
ALARGUE MONITOR 15M/15H 3M CX,cables,4.63188,001-0030,cables,,,
ALARGUE MOUSE DB9M/9H 1.8M,cables,2.24939,001-0030,cables,,,
ALARGUE TECLADO AT 1.8M,cables,0.78529,001-0030,cables,,,
ALARGUE TECLADO DIN5 D5M-5M 1.80 M,cables,1.26445,001-0030,cables,,,
CABLE  USB A-MICRO USB 5PIN DATA 1.5MTS BLANCO,cables,1.62382,001-0030,cables,,,
CABLE  USB A-TYPE C DATA 1.5MTS BLANCO,cables,1.70368,001-0030,cables,,,
CABLE ALIMENTACION 1.80M C-07 CIN-0207 INTERLOCK,cables,2.86165,001-0030,cables,,,
CABLE ALIMENTACION 1.80M C-13 CPC-0113-N,cables,7.5867,001-0030,cables,,,
CABLE ALIMENTACION P.C. 1.8M,cables,3.58039,001-0030,cables,,,
CABLE ALIMENTACION P/NOT. 1.80M TREBOL (MICKEY),cables,7.29388,001-0030,cables,,,
CABLE ALIMENTACION PC NISUTA NS-CPO220A 220V 1.5M,cables,4.55202,001-0030,cables,,,
CABLE ALIMENTACION Y A 2 x 5 1/4 M a 5 1/4 H,cables,2.67531,001-0030,cables,,,
CABLE D.PORT M/M PURESONIC - INTRACOM,cables,17.92857,001-0030,cables,,,
CABLE DATA 1.80 MM,cables,2.75517,001-0030,cables,,,
CABLE DATA 3M M/M,cables,4.33906,001-0030,cables,,,
CABLE DATA 7.5M M/M,cables,8.63819,001-0030,cables,,,
